#ID:	2
#type:	Perform parallel JV
#start_time:	7/18/2020 8:07:59 PM
#
# Parameters
#Sample area:	0.128000 cm²
#start_voltage:	-0.500000 V
#stop_voltage:	1.400000 V
#sweep_speed:	50.000000 mV/s
#settling_time:	10.000000 ms
#direction:	3.000000 0=forward,1=backward,2=for- & backward,3=back- & forward
##Sample IR temperature:	[23.969999,28.190001
] °C
##Environment temperature:	[23.840000,24.920000
] °C
##Humidity:	[51.840000,51.410000
] %
##Light intensity:	[100.000000,100.000000
] %
##Stage temperature:	[NaN,NaN
] °C
#
#voltage (V),Current density (mmA/cm²)
1.321642,-0.044662
1.320224,-0.044778
1.317290,-0.044640
1.300628,-0.041874
1.276941,-0.037611
1.217124,-0.026373
1.163025,-0.016604
1.108596,-0.007727
1.048208,0.000523
0.986767,0.006878
0.945255,0.009935
0.922887,0.011159
0.884616,0.013040
0.838887,0.014682
0.787460,0.015995
0.735461,0.016907
0.689476,0.017517
0.642000,0.018037
0.593333,0.018431
0.547821,0.018733
0.501868,0.018988
0.456016,0.019240
0.414018,0.019401
0.367471,0.019590
0.320486,0.019744
0.273017,0.019865
0.229477,0.019980
0.185714,0.020019
0.137450,0.020131
0.093611,0.020204
0.049806,0.020239
0.001230,0.020290
-0.037905,0.020330
-0.087185,0.020393
-0.129783,0.020415
-0.176778,0.020442
-0.219184,0.020481
-0.266512,0.020512
-0.309046,0.020539
-0.356725,0.020577
-0.400207,0.020596
-0.448583,0.020656
-0.491658,0.020763
-0.532456,0.021003
NaN,NaN
-0.503673,0.020951
-0.457021,0.020777
-0.414663,0.020603
-0.367898,0.020439
-0.321518,0.020316
-0.279923,0.020195
-0.234248,0.020065
-0.188501,0.019938
-0.142559,0.019767
-0.101678,0.019646
-0.050349,0.019391
-0.008637,0.019186
0.036931,0.018904
0.077926,0.018639
0.126590,0.018191
0.170620,0.017793
0.214270,0.017268
0.260138,0.016635
0.301311,0.016061
0.344719,0.015240
0.386960,0.014393
0.431350,0.013268
0.475030,0.012090
0.519827,0.010640
0.564006,0.009129
0.604322,0.007739
0.648893,0.005858
0.692627,0.003958
0.735398,0.002061
0.777285,0.000123
0.822595,-0.002255
0.865392,-0.004533
0.906825,-0.006896
0.950923,-0.009782
0.994140,-0.012736
1.034736,-0.015564
1.078674,-0.018683
1.126420,-0.021876
1.172489,-0.024495
1.224491,-0.027280
1.268970,-0.029906
1.306538,-0.033055
1.341010,-0.037254
1.360574,-0.041675
NaN,NaN
